country,fact
France,"Франция — самая посещаемая страна в мире."
France,"Во Франции более 400 видов сыра."
Japan,"В Японии более 6800 островов."
Japan,"Около 70% Японии покрыто горами."
Brazil,"В Бразилии находится около 60% лесов Амазонки."
Brazil,"Бразилия — крупнейший производитель кофе в мире."
USA,"В США нет официального государственного языка."
USA,"Первая столица США была Нью-Йорк."
Russia,"Россия — самая большая страна в мире по площади."
Russia,"В России 11 часовых поясов."
India,"В Индии более 22 официальных языков."
India,"Индия — крупнейшая демократия в мире."
Germany,"В Германии более 1500 видов колбас."
Germany,"Автобаны в Германии часто не имеют ограничения скорости."
Canada,"В Канаде больше озёр, чем в любой другой стране."
Canada,"Канада имеет самую длинную береговую линию в мире."
Australia,"Австралия — единственная страна-континент."
Australia,"В Австралии кенгуру больше, чем людей."
Egypt,"Пирамиды Египта старше Колизея и Великой Китайской стены."
Egypt,"Древний Египет существовал более 3000 лет."
Italy,"Пицца появилась именно в Италии."
Italy,"В Италии более 3000 видов пасты."
China,"В Китае изобрели бумагу, компас и порох."
China,"В Китае проживает более 1 миллиарда человек."
Mexico,"Мехико построен на месте древнего города ацтеков."
Mexico,"В Мексике более 60 коренных языков."
Argentina,"Аргентина — родина танго."
Argentina,"В Аргентине находится один из самых длинных горных хребтов — Анды."
South Africa,"ЮАР имеет три столицы."
South Africa,"В ЮАР 11 официальных языков."
Spain,"В Испании проходит знаменитый фестиваль Ла Томатина."
Spain,"Испания — одна из самых солнечных стран Европы."
Turkey,"Стамбул расположен сразу в Европе и Азии."
Turkey,"Турция — родина тюльпанов."
South Korea,"Южная Корея — мировой лидер по скорости интернета."
South Korea,"В Корее возраст считается по-другому, чем в Европе."
Indonesia,"Индонезия состоит более чем из 17 000 островов."
Indonesia,"Это самая большая островная страна в мире."
Saudi Arabia,"В Саудовской Аравии нет рек."
Saudi Arabia,"Страна полностью расположена в пустыне."
Thailand,"Таиланд — единственная страна Юго-Восточной Азии, не колонизированная Европой."
Thailand,"Ранее Таиланд назывался Сиам."
Sweden,"В Швеции почти нет наличных денег."
Sweden,"В Швеции существует музей затонувшего корабля Васа."
Norway,"В Норвегии можно увидеть северное сияние."
Norway,"В Норвегии много фьордов."
Finland,"Финляндия — самая счастливая страна мира по рейтингам."
Finland,"В Финляндии более 3 миллионов саун."
Poland,"Польша является родиной Марии Кюри."
Poland,"В Польше находится один из крупнейших замков Европы."
Netherlands,"Около 25% Нидерландов находится ниже уровня моря."
Netherlands,"В стране больше велосипедов, чем людей."
Belgium,"Бельгия славится шоколадом и вафлями."
Belgium,"В Бельгии более 1000 сортов пива."
Switzerland,"В Швейцарии один из самых высоких уровней жизни."
Switzerland,"В стране четыре официальных языка."
Austria,"Австрия — родина Моцарта."
Austria,"В Австрии Альпы занимают большую часть территории."
Greece,"Греция считается колыбелью демократии."
Greece,"В Греции более 6000 островов."
Portugal,"Португалия — одна из старейших стран Европы."
Portugal,"Лиссабон старше Рима."
Ireland,"В Ирландии нет змей."
Ireland,"День Святого Патрика отмечают по всему миру."
Czech Republic,"Прага известна как «город ста шпилей»."
Czech Republic,"В Чехии одно из самых высоких потреблений пива."
Hungary,"Венгерский язык не похож на соседние языки."
Hungary,"В Будапеште одна из крупнейших термальных купален в мире."
Denmark,"Дания регулярно входит в топ самых счастливых стран."
Denmark,"Флаг Дании — самый старый в мире."
New Zealand,"В Новой Зеландии снимали «Властелин колец»."
New Zealand,"В стране больше овец, чем людей."
Singapore,"Сингапур — один из самых чистых городов мира."
Singapore,"В Сингапуре запрещено жевать жвачку."
Malaysia,"Малайзия имеет один из самых высоких небоскрёбов-близнецов."
Malaysia,"Страна расположена в двух частях, разделённых морем."
Philippines,"Филиппины состоят более чем из 7000 островов."
Philippines,"Филиппины — один из крупнейших экспортеров кокосов."
Vietnam,"Во Вьетнаме популярны мотоциклы как основной транспорт."
Vietnam,"Вьетнам — один из крупнейших производителей кофе."
Pakistan,"Пакистан — единственная мусульманская страна с ядерным оружием."
Pakistan,"Название Пакистан означает «земля чистых»."
Bangladesh,"Бангладеш — одна из самых густонаселённых стран."
Bangladesh,"Страна расположена в дельте рек."
Nigeria,"Нигерия — самая населённая страна Африки."
Nigeria,"В Нигерии более 500 языков."
Kenya,"Кения — родина марафонских бегунов."
Kenya,"В Кении находится Великая рифтовая долина."
Ethiopia,"Эфиопия использует собственный календарь."
Ethiopia,"Это одна из древнейших независимых стран мира."
Chile,"Чили — одна из самых длинных стран в мире."
Chile,"В Чили есть пустыня Атакама — самая сухая в мире."
Peru,"В Перу находится древний город Мачу-Пикчу."
Peru,"Перу считается родиной картофеля."
Colombia,"Название Колумбия дано в честь Колумба."
Colombia,"В Колумбии производят один из лучших кофе в мире."
Venezuela,"Название Венесуэла означает «Маленькая Венеция»."
Venezuela,"В стране находится самый высокий водопад в мире — Анхель."
Ukraine,"Украина — крупнейшая страна Европы по площади."
Ukraine,"Киев — один из старейших городов Европы."
Belarus,"В Беларуси сохранилось много лесов."
Belarus,"В стране два официальных языка."
Romania,"Румыния связана с легендой о Дракуле."
Scotland, "Официальным животным Шотландии является единорог.. а человеком - мыло."